"county_group","county_Deaths","county_Births","county_Mortality_rate","county_HC01_VC03","county_HC01_VC04","county_HC01_VC05","county_HC01_VC07","county_HC01_VC09","county_HC03_VC12_unemp_pct","county_HC01_VC74","county_HC01_VC85_inc_med","county_HC01_VC86_inc_mean","county_HC01_VC103","county_HC01_VC118","county_HC01_VC130","county_HC01_VC131_hc","county_HC03_VC131_hc_pct","county_HC01_VC132_hc_priv","county_HC03_VC132_hc_priv_pct","county_HC01_VC133_hc_pub","county_HC03_VC133_hc_pub_pct","county_HC01_VC134_nohc","county_HC03_VC134_nohc_pct","county_HC01_VC161_bpl","county_HC03_VC161_bpl_pct","county_HC01_VC162_bpl_18","county_HC03_VC162_bpl_18_pct","county_HC01_VC163_bpl_5","county_HC03_VC163_bpl_5_pct"
"Butler County, OH",31,4588,6.75675675675676,291832,190524,190439,13657,101308,7.17132520124554,134720,57540,74035,93384,27490,369325,336273,91.0507006024504,271859,73.6096933595072,102361,27.7156975563528,33052,8.94929939754958,8964.864,9.6,14381.136,15.4,16435.584,17.6
"Caddo Parish, LA",38,3570,10.6442577030812,199059,117805,116873,8135,81254,6.96054691844994,97991,41234,61687,61376,24876,249783,209721,83.9612783896422,141522,56.6579791258813,97471,39.0222713315158,40062,16.0387216103578,10065.664,16.4,16326.016,26.6,17614.912,28.7
"Camden County, NJ",54,6235,8.6607858861267,405272,269484,269225,27517,135788,10.2208190175504,186101,62185,81281,125478,30822,506316,452005,89.2732996784617,345837,68.3045765885336,161397,31.8767331073875,54311,10.7267003215383,12798.756,10.2,19825.524,15.8,20201.958,16.1
"Cameron County, TX",39,7242,5.38525269262635,298753,164722,164483,16472,134031,10.0144087838865,121097,33266,49194,95991,15105,415215,284014,68.4016714232386,144639,34.8347241790398,161109,38.8013438820852,131201,31.5983285767614,28413.336,29.6,37628.472,39.2,33692.841,35.1
"Charleston County, SC",25,4994,5.00600720865038,304661,200611,198388,15277,104050,7.7005665665262,148018,53437,77100,87214,32162,365883,313511,85.6861346386686,250383,68.4325317109568,105299,28.7794185572984,52372,14.3138653613314,10640.108,12.2,18402.154,21.1,17093.944,19.6
"Chatham County, GA",39,4149,9.3998553868402,223398,141706,138090,13463,81692,9.74943877181548,104912,47218,64795,64069,25690,271319,223280,82.2942735304199,173029,63.7732705781755,77661,28.623502224319,48039,17.7057264695801,9225.936,14.4,15376.56,24,14479.594,22.6
"Chester County, PA",25,5503,4.54297655824096,402820,277243,276983,16252,125577,5.8675081142164,186057,85976,114430,130680,42556,504927,467827,92.6524032186831,415967,82.3816115993005,110540,21.8922735365706,37100,7.3475967813169,5749.92,4.4,8886.24,6.8,8232.84,6.3
"Chesterfield County, VA",21,3803,5.5219563502498,256916,178062,176864,12022,78854,6.79731318979555,116797,72609,90380,83901,33220,325417,295018,90.6584474689399,259046,79.6043230685551,72768,22.3614623698209,30399,9.34155253106015,4195.05,5,6963.783,8.3,8725.704,10.4
"Clackamas County, OR",26,4141,6.27867664815262,313378,202497,202373,16713,110881,8.25851274626556,149522,65965,86852,102929,34047,387875,350541,90.374734128263,291997,75.2812117305833,109582,28.2518852723171,37334,9.62526587173703,6690.385,6.5,10807.545,10.5,12145.622,11.8
"Clark County, NV",141,27139,5.19547514646818,1599352,1043127,1035802,112214,556225,10.8335376838431,724446,51575,68833,465442,26048,2012107,1629903,81.0047875187552,1265320,62.8853236930243,548394,27.2547135912752,382204,18.9952124812448,55387.598,11.9,84245.002,18.1,81917.792,17.6
"Clark County, WA",25,5560,4.49640287769784,344185,220533,220146,18885,123652,8.57839797225478,162441,60756,76916,113110,28801,442053,393476,89.0110461867695,308563,69.8022635294863,142124,32.1508959332931,48577,10.9889538132305,8935.69,7.9,13686.31,12.1,13686.31,12.1
"Clayton County, GA",36,3804,9.46372239747634,199379,133149,132924,18780,66230,14.1283741085131,88793,40938,50593,59037,18107,263996,198052,75.0208336489947,130300,49.3568084364915,85496,32.3853391718056,65944,24.9791663510053,12515.844,21.2,18124.359,30.7,18124.359,30.7
"Cleveland County, OK",13,2886,4.5045045045045,214233,142010,140826,6877,72223,4.88333120304489,99276,56452,72560,65681,27745,263176,232354,88.2884457549321,196904,74.8183724959723,64041,24.3339058272791,30822,11.7115542450679,5320.161,8.1,8275.806,12.6,10180.555,15.5
"Cobb County, GA",72,9658,7.45495961896873,560255,399396,398737,31944,160859,8.0112956660656,268616,65873,89047,183266,33778,714030,595720,83.4306681792082,501468,70.2306625772026,148513,20.7992661372771,118310,16.5693318207918,17227.004,9.4,25107.442,13.7,19609.462,10.7
